,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
16669,ZNF160,14.290971781628022,-0.0453518264474969,0.4580018409702491,-0.09902105710191426,0.9211215511186216,0.9994290447843712,cytotoxic_vs_rest,-0.09902105710191428
16670,VPS52,2.5551611070768936,0.061348668218219944,0.6199013380048641,0.09896521342520244,0.9211658901397207,0.9994290447843712,cytotoxic_vs_rest,0.09896521342520245
16671,ZSCAN32,3.58901012541351,-0.053226926350674,0.5383508326331493,-0.09887033347814037,0.9212412239213437,0.9994290447843712,cytotoxic_vs_rest,-0.09887033347814035
16672,AKT2,18.969285419532987,0.031860729929806306,0.3223691188290168,0.09883307075298706,0.9212708103663994,0.9994290447843712,cytotoxic_vs_rest,0.09883307075298704
16673,TGFB1I1,1.222371868031841,0.13375732491381803,1.3545426787602182,0.09874722074925171,0.9213389753183306,0.9994290447843712,cytotoxic_vs_rest,0.09874722074925173
16674,ACSS1,12.558845774688663,0.051968005535445394,0.526406868451954,0.09872212664753367,0.921358900158572,0.9994290447843712,cytotoxic_vs_rest,0.09872212664753367
16675,EIF2AK2,41.985787972062674,0.03603591829969297,0.3654927586617321,0.09859543710698969,0.9214594930305497,0.9994290447843712,cytotoxic_vs_rest,0.0985954371069897
16676,RP11-158K1.3,1.0850152986320203,0.09658176228855096,0.979678847002362,0.09858512571142419,0.9214676804460047,0.9994290447843712,cytotoxic_vs_rest,0.09858512571142419
16677,MAST2,1.0987913829949236,0.08485656103713561,0.861470922230896,0.09850194457798762,0.9215337279204645,0.9994290447843712,cytotoxic_vs_rest,0.09850194457798762
16678,DDX3X,166.29693407586777,-0.038321125813617844,0.38918317505428257,-0.09846552541299579,0.9215626456322262,0.9994290447843712,cytotoxic_vs_rest,-0.09846552541299577
16679,TAF6L,3.652559343404679,-0.08534694020363295,0.8675937742363425,-0.098372006275351,0.9216369026000706,0.9994290447843712,cytotoxic_vs_rest,-0.098372006275351
16680,KCNAB2,30.547156730956793,-0.02228166392919081,0.2266624325221978,-0.09830329482151258,0.9216914619668912,0.9994290447843712,cytotoxic_vs_rest,-0.09830329482151258
16681,TRMT1,17.858073075087734,-0.031900186076390905,0.3253760302157522,-0.09804098370503309,0.9218997498188861,0.9994290447843712,cytotoxic_vs_rest,-0.09804098370503306
16683,LPCAT3,19.395954993974822,-0.028426859244327512,0.29119607684560306,-0.09762102413007405,0.9222332294021759,0.9994290447843712,cytotoxic_vs_rest,-0.09762102413007405
16684,ZNF426,6.628564523543112,-0.0478334310765119,0.49053069779100555,-0.0975136342983609,0.9223185072271716,0.9994290447843712,cytotoxic_vs_rest,-0.09751363429836088
16685,RELA,25.6937795928265,0.03796450550020864,0.3900626683316884,0.09732924625313197,0.9224649311002655,0.9994290447843712,cytotoxic_vs_rest,0.09732924625313197
16686,TEC,1.9479530556254494,0.09774676557436404,1.0056827233501477,0.0971944364806709,0.9225719861735419,0.9994290447843712,cytotoxic_vs_rest,0.09719443648067089
